# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
72,19,384,1074,36,0,0,0,0
73,19,384,1074,36,0,0,0,0
74,19,384,1074,38,0,0,0,2
75,19,384,1074,50,0,0,0,12
76,19,384,1074,60,0,0,0,10
77,19,384,1074,60,0,0,0,0
78,19,384,1074,60,0,0,0,0
79,19,384,1074,60,0,0,0,0
80,19,384,1074,60,0,0,0,0
81,19,384,1074,60,0,0,0,0
82,19,384,1074,60,0,0,0,0
83,19,384,1074,60,0,0,0,0
84,19,384,1074,60,0,0,0,0
85,19,384,1074,60,0,0,0,0
86,19,384,1086,60,0,0,12,0
87,19,384,1111,60,0,0,24,0
88,19,384,1123,60,0,0,12,0
89,19,384,1123,60,0,0,0,0
90,19,384,1171,60,0,0,48,0
91,19,384,1195,60,0,0,24,0
92,19,384,1207,60,0,0,12,0
93,21,424,1273,62,2,40,65,2
94,21,424,1297,64,0,0,24,2
95,21,424,1297,64,0,0,0,0
96,21,424,1309,64,0,0,12,0
97,21,424,1333,64,0,0,24,0
98,21,424,1345,64,0,0,12,0
99,21,424,1345,64,0,0,0,0
100,21,424,1394,64,0,0,48,0
101,23,472,1445,68,2,48,51,4
102,23,472,1457,68,0,0,12,0
103,23,472,1481,68,0,0,24,0
104,23,472,1493,68,0,0,12,0
105,23,472,1530,68,0,0,36,0
106,25,520,1532,70,2,48,3,2
107,25,520,1544,70,0,0,12,0
108,26,544,1552,72,1,24,7,2
109,27,564,1578,72,1,20,27,0
110,27,564,1651,72,0,0,73,0
111,27,564,1651,72,0,0,0,0
112,27,564,1651,72,0,0,0,0
113,27,564,1651,72,0,0,0,0
114,27,564,1651,72,0,0,0,0
115,27,564,1651,72,0,0,0,0

# 每分钟汇总 (minute=第几分钟; *_in_min=该分钟增量)
minute,kills_in_min,scarlet_in_min,damage_in_min,coin_in_min,kills_cum,scarlet_cum,damage_cum,coin_cum
0,16,320,925,32,16,320,925,32
1,11,244,727,40,27,564,1651,72

# 血契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,pact_id,pact_name,stacks_after
1,22,4,"攻击提升",1
2,43,1001,"猩红体魄（示例）",1
3,68,1,"血刃",1
4,110,2,"裂空",1

# 各血契生效段效率 (segment: 0=开局, 1=首血契生效后, 2=第2次血契生效后 …; 末段到导出时刻)
segment,pact_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,22,22,5,100,290,13.6,273,791
1,"攻击提升",22,43,21,9,180,444,25.7,514,1267
2,"猩红体魄（示例）",43,68,25,5,104,341,12.0,250,818
3,"血刃",68,110,42,8,180,504,11.4,257,720
4,"裂空",110,115,5,0,0,73,0.0,0,871

# 副契选择记录 (selection=第几次; t_sec=游戏开始后秒; stacks_after=选完后层数)
selection,t_sec,affix_id,affix_name,stacks_after
1,22,1001,"血肉增生",1
2,43,1001,"血肉增生",2
3,68,1001,"血肉增生",3
4,110,1003,"猎杀本能",1

# 各副契生效段效率 (segment: 0=开局, 1=首副契生效后, 2=第2次副契生效后 …; 末段到导出时刻)
segment,affix_name,t_start,t_end,seconds,kills,scarlet,damage,kills_per_min,scarlet_per_min,damage_per_min
0,"(开局)",0,22,22,5,100,290,13.6,273,791
1,"血肉增生",22,43,21,9,180,444,25.7,514,1267
2,"血肉增生",43,68,25,5,104,341,12.0,250,818
3,"血肉增生",68,110,42,8,180,504,11.4,257,720
4,"猎杀本能",110,115,5,0,0,73,0.0,0,871

# 每阶段Boss战时间 (stage=第几场Boss战 1/2/3; start_sec/end_sec=游戏内起止秒; duration_sec=用时秒; result: defeated=阶段清空进入下一场 / final=最终击败通关 / aborted=异常中断 / ongoing=导出时仍在进行)
stage,start_sec,end_sec,duration_sec,result
